relation,source,target
r_cert,Domain_6cf8a9aeb74e11395404d590b5599f41f2fe8e2e3a30f7442e2dab661f82f865,Cert_3aa9c13836903efd1bfd8b9d39b60438924486a90573544d7372259df4bd68ea
r_dns_a,Domain_6cf8a9aeb74e11395404d590b5599f41f2fe8e2e3a30f7442e2dab661f82f865,IP_7684c8f10f610f43ee08221e7130c16b0d9d59035fbf0a55a641639af6a73676
r_subdomain,Domain_6cf8a9aeb74e11395404d590b5599f41f2fe8e2e3a30f7442e2dab661f82f865,Domain_10c03f686edfffdb82411bd46f37b405af767ac014454a6e8017197cc7bdb1ca
r_whois_name,Domain_6cf8a9aeb74e11395404d590b5599f41f2fe8e2e3a30f7442e2dab661f82f865,Whois_Name_af9c8790603b2045d997ea7062e2fd93c931560ae48932b95f20085663878464
r_dns_a,Domain_34cf594d150b250c3226c8b1fb1df152279e9687826768321a6b9e44b19ec07a,IP_2010a036d0a461366ba6df52d118ce03f4ce457eb66fe623069429e11e365fec
r_cert,Domain_34cf594d150b250c3226c8b1fb1df152279e9687826768321a6b9e44b19ec07a,Cert_3aa9c13836903efd1bfd8b9d39b60438924486a90573544d7372259df4bd68ea
r_subdomain,Domain_34cf594d150b250c3226c8b1fb1df152279e9687826768321a6b9e44b19ec07a,Domain_1fa54042cfd3c6875c9cc13e7ca97935e3ca1570f176dd33982c7c15181ea94e
r_whois_name,Domain_34cf594d150b250c3226c8b1fb1df152279e9687826768321a6b9e44b19ec07a,Whois_Name_af9c8790603b2045d997ea7062e2fd93c931560ae48932b95f20085663878464
r_dns_a,Domain_147b03dbd386af763aceef0afeb01ef662a85c4a4e38bbfb24069af094714721,IP_96de0f0acab70d4fe3271fb04f78fad235a8d3f0602b9b3a4a90009ae56c7eec
r_subdomain,Domain_147b03dbd386af763aceef0afeb01ef662a85c4a4e38bbfb24069af094714721,Domain_6cbd513e4adc7da4e06f2d48ffb3619afb35b0aa677a2642effd4972d55c8b63
r_whois_name,Domain_147b03dbd386af763aceef0afeb01ef662a85c4a4e38bbfb24069af094714721,Whois_Name_af9c8790603b2045d997ea7062e2fd93c931560ae48932b95f20085663878464
r_dns_a,Domain_9fca02f8e66add91d507d36f1ade0fc33dcb2617318b9727f8f9367e51678370,IP_7ee3ab446851258a0a7c0f8db0f4abbd2d05ee6b29e3ce3091308d9888fb3e6d
r_cert,Domain_9fca02f8e66add91d507d36f1ade0fc33dcb2617318b9727f8f9367e51678370,Cert_3aa9c13836903efd1bfd8b9d39b60438924486a90573544d7372259df4bd68ea
r_subdomain,Domain_9fca02f8e66add91d507d36f1ade0fc33dcb2617318b9727f8f9367e51678370,Domain_3dfea8d232bce870a0f18d8e7499a3faed19d6c9f33b163713a5e7edbc668962
r_whois_email,Domain_9fca02f8e66add91d507d36f1ade0fc33dcb2617318b9727f8f9367e51678370,Whois_Email_2e7c374df8dfbeb2a499b2686e7a448539e49a3ea9bd97ece8de39d1f1a45856
r_whois_name,Domain_9fca02f8e66add91d507d36f1ade0fc33dcb2617318b9727f8f9367e51678370,Whois_Name_db37d9bd632e12b566f1106de3405905a928f09ff12bdc96bf4aa9ca8e813541
